Angle;Correlation_p0;Correlation_p1;Correlation_p2;Ionization_Calibration_p0;Ionization_Calibration_p1;Ionization_Calibration_p2;Ionization_Resolution_p0;Ionization_Resolution_p1;Ionization_Resolution_p2;Ionization_TriggerEfficiency_p0;Ionization_TriggerEfficiency_p1;Multiplicity;Rotated_Calibration_p0;Rotated_Calibration_p1;Rotated_Calibration_p2;Rotated_Resolution_p0;Rotated_Resolution_p1;Rotated_Resolution_p2;Rotated_TriggerEfficiency_p0;Rotated_TriggerEfficiency_p1;Scintillation_Calibration_p0;Scintillation_Calibration_p1;Scintillation_Calibration_p2;Scintillation_Resolution_p0;Scintillation_Resolution_p1;Scintillation_Resolution_p2;Scintillation_TriggerEfficiency_p0;Scintillation_TriggerEfficiency_p1;TriggerEfficiency_Correlation_p0;WeekIndex;end_time;end_time_sec;start_time;start_time_sec
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16;2012-01-06 11:00:00;1325847600;2011-12-30 11:00:00;1325242800
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17;2012-01-13 11:00:00;1326452400;2012-01-06 11:00:00;1325847600
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17;2012-01-13 11:00:00;1326452400;2012-01-06 11:00:00;1325847600
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18;2012-01-20 11:00:00;1327057200;2012-01-13 11:00:00;1326452400
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18;2012-01-20 11:00:00;1327057200;2012-01-13 11:00:00;1326452400
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19;2012-01-27 11:00:00;1327662000;2012-01-20 11:00:00;1327057200
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19;2012-01-27 11:00:00;1327662000;2012-01-20 11:00:00;1327057200
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20;2012-02-03 11:00:00;1328266800;2012-01-27 11:00:00;1327662000
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20;2012-02-03 11:00:00;1328266800;2012-01-27 11:00:00;1327662000
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21;2012-02-10 11:00:00;1328871600;2012-02-03 11:00:00;1328266800
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21;2012-02-10 11:00:00;1328871600;2012-02-03 11:00:00;1328266800
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22;2012-02-17 11:00:00;1329476400;2012-02-10 11:00:00;1328871600
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22;2012-02-17 11:00:00;1329476400;2012-02-10 11:00:00;1328871600
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23;2012-02-24 11:00:00;1330081200;2012-02-17 11:00:00;1329476400
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23;2012-02-24 11:00:00;1330081200;2012-02-17 11:00:00;1329476400
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24;2012-03-02 11:00:00;1330686000;2012-02-24 11:00:00;1330081200
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24;2012-03-02 11:00:00;1330686000;2012-02-24 11:00:00;1330081200
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25;2012-03-09 11:00:00;1331290800;2012-03-02 11:00:00;1330686000
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25;2012-03-09 11:00:00;1331290800;2012-03-02 11:00:00;1330686000
